feature,n_pairs,mean_delta_ai_minus_real,median_delta,std_delta,cohens_dz,direction_consistency_ai_gt_real,exact_signflip_p,q_fdr
HH1_absmean,8,-0.005265684667392634,-0.0036046376917511225,0.005056047485038044,-1.0414626608976583,0.125,0.015625,0.03686951754385965
HH1_entropy,8,-1.5156933665275574,-1.5116300582885742,0.8893571422111034,-1.7042572602040034,0.125,0.015625,0.03686951754385965
HH3_energy,8,-0.0037362534349085763,-0.002451009990181774,0.003966052463534621,-0.942058500047868,0.125,0.015625,0.03686951754385965
HH3_entropy,8,-0.6309141516685486,-0.6970119476318359,0.4423429099658063,-1.4263010380731977,0.125,0.015625,0.03686951754385965
HL3_entropy,8,-0.4330939054489136,-0.4721183776855469,0.3055197021529099,-1.4175645707855329,0.125,0.015625,0.03686951754385965
LH3_absmean,8,-0.02077249949797988,-0.020772721618413925,0.01284231506371637,-1.6175042735611436,0.125,0.015625,0.03686951754385965
LH3_energy,8,-0.009225251502357423,-0.007417595013976097,0.008265514680642282,-1.116113376939833,0.125,0.015625,0.03686951754385965
contour_count,8,-74.0,-51.0,75.45670471014677,-0.9806948273749505,0.125,0.015625,0.03686951754385965
crossdiff_fft_highfreq_ratio,8,-0.024844836443662643,-0.02018546313047409,0.023908997497067982,-1.0391417058247392,0.125,0.015625,0.03686951754385965
ela_mean,8,-0.0019112599838990718,-0.002314553828909993,0.0011713866182182697,-1.6316218353306629,0.125,0.015625,0.03686951754385965
ela_p95,8,-0.0049019609577953815,-0.005882353987544775,0.002943769077999714,-1.6651988752889053,0.0,0.015625,0.03686951754385965
ela_std,8,-0.001442635286366567,-0.0015690787695348263,0.0009377005553763056,-1.538481851263944,0.125,0.015625,0.03686951754385965
gradient_p95,8,-0.02470493339933455,-0.022254999727010727,0.01626874490563038,-1.5185518946077103,0.125,0.015625,0.03686951754385965
lbp_hist_entropy,8,-0.39564988017082214,-0.43897056579589844,0.32590109576819304,-1.214018256791134,0.125,0.015625,0.03686951754385965
lbp_std_code,8,-0.596802219748497,-0.6765133142471313,0.35169648757504474,-1.6969240263485765,0.125,0.015625,0.03686951754385965
low_freq_ratio,8,0.04472421109676361,0.015886574983596802,0.06353363906883859,0.7039453705509455,0.875,0.015625,0.03686951754385965
mid_freq_ratio,8,-0.037044916971353814,-0.014310452155768871,0.057904854747801306,-0.6397549416659307,0.125,0.015625,0.03686951754385965
qwt_HH1_magnitude_entropy,8,-1.3424223512411118,-1.497516393661499,0.7918445563623291,-1.6953104500813811,0.125,0.015625,0.03686951754385965
qwt_HH1_magnitude_mean,8,-0.00913293166377116,-0.0063884686678647995,0.00868075738493767,-1.052089265807391,0.125,0.015625,0.03686951754385965
qwt_HH1_quaternion_kurtosis,8,24.705704033374786,13.299678802490234,27.77787585609716,0.8894022048828459,0.875,0.015625,0.03686951754385965
qwt_HH1_quaternion_skewness,8,1.4437418431043625,1.169432282447815,1.4878813840901106,0.9703339651549301,0.875,0.015625,0.03686951754385965
qwt_HH2_phase_rb_std,8,-0.32761572301387787,-0.39331507682800293,0.22199996709097267,-1.4757467188255269,0.125,0.015625,0.03686951754385965
qwt_HH2_phase_rg_std,8,-0.3175531327724457,-0.38828545808792114,0.22290010230498022,-1.4246432796067434,0.125,0.015625,0.03686951754385965
qwt_HL2_phase_rb_std,8,-0.26527443528175354,-0.3458293080329895,0.18469384120831758,-1.436292805143126,0.125,0.015625,0.03686951754385965
qwt_HL2_phase_rg_std,8,-0.2673117369413376,-0.33524811267852783,0.17452043431947734,-1.5316930535022413,0.125,0.015625,0.03686951754385965
qwt_HL3_magnitude_entropy,8,-0.3710651993751526,-0.4235236644744873,0.23704452944254323,-1.565381830358141,0.125,0.015625,0.03686951754385965
qwt_HL3_magnitude_mean,8,-0.035422355867922306,-0.03628753125667572,0.021509978760616773,-1.6467871150471844,0.125,0.015625,0.03686951754385965
qwt_HL3_phase_gb_std,8,-0.10492528975009918,-0.1009405255317688,0.07660475484744247,-1.3696968283373108,0.125,0.015625,0.03686951754385965
qwt_LH1_quaternion_kurtosis,8,11.758248090744019,8.386760711669922,11.73817834467955,1.0017097837053708,0.875,0.015625,0.03686951754385965
qwt_LH1_quaternion_skewness,8,0.6685385853052139,0.5262199640274048,0.6498893373685465,1.0286960361777586,0.875,0.015625,0.03686951754385965
qwt_LH2_phase_rb_circular_coherence,8,0.29718512811814435,0.36674597952514887,0.2098470737124238,1.4161985814746663,0.875,0.015625,0.03686951754385965
HH2_energy,8,-0.0011908641117770458,-0.0009828325200942345,0.0011154000511253911,-1.067656497393482,0.125,0.0234375,0.05084425403225806
crossdiff_absmean,8,-0.009778594714589417,-0.006393916439265013,0.009854499159704221,-0.9922974832221628,0.125,0.0234375,0.05084425403225806
detail_energy_ratio,8,-0.0016988618437024697,-0.0015880947526260157,0.0017629195367552253,-0.9636638588902031,0.125,0.0234375,0.05084425403225806
qwt_HH2_magnitude_energy,8,-0.0034227031574118882,-0.002930624585133046,0.003261557510690822,-1.0494075748144434,0.125,0.0234375,0.05084425403225806
qwt_HL1_quaternion_kurtosis,8,10.546364545822144,10.051976203918457,8.516845635056477,1.2382946689102707,0.875,0.0234375,0.05084425403225806
qwt_HL1_quaternion_skewness,8,0.6555720567703247,0.7079789638519287,0.5920277696350117,1.1073332880558768,0.875,0.0234375,0.05084425403225806
qwt_HL2_phase_gb_std,8,-0.20183786749839783,-0.2755119204521179,0.16014656573995684,-1.2603321623901607,0.125,0.0234375,0.05084425403225806
