feature,mean_delta_ai_minus_real,median_delta,cohens_dz,direction_consistency_ai_gt_real,exact_signflip_p,q_fdr,abs_effect
qwt_HH1_magnitude_std,-0.008369907678570598,-0.005869124550372362,-0.6784918636402161,0.375,0.125,0.18475274725274726,0.6784918636402161
glcm_correlation_mean,0.056882443617247036,0.02493526040381694,0.6728486571604418,0.75,0.03125,0.061810661764705885,0.6728486571604418
dct_dc_ratio_mean,0.01693655550479889,0.010014921426773071,0.6692874673273931,0.625,0.0625,0.10251524390243902,0.6692874673273931
qwt_HH2_quaternion_kurtosis,8.731568038463593,2.914785385131836,0.6692561799780509,0.75,0.1015625,0.15348490168539325,0.6692561799780509
qwt_LH3_quaternion_kurtosis,5.618692755699158,2.417336940765381,0.6659739228754703,0.75,0.0859375,0.13440225290697674,0.6659739228754703
mid_freq_ratio,-0.037044916971353814,-0.014310452155768871,-0.6397549416659307,0.125,0.015625,0.03686951754385965,0.6397549416659307
dct_highfreq_ratio_mean,-0.002195998662045895,-0.00037878716830164194,-0.635239306906793,0.25,0.1015625,0.15348490168539325,0.635239306906793
qwt_HH3_quaternion_skewness,0.37129975855350494,0.20591551065444946,0.6294444955527875,0.75,0.1171875,0.17610858938547486,0.6294444955527875
qwt_HH3_quaternion_kurtosis,5.616369128227234,3.525284767150879,0.6251940944995051,0.75,0.1015625,0.15348490168539325,0.6251940944995051
qwt_HL1_magnitude_std,-0.006839070236310363,-0.009545745328068733,-0.580448135383258,0.25,0.1640625,0.23727318548387097,0.580448135383258
synth_b_p4_d_mean,0.02114513743435964,0.010880140122026205,0.5769054262029318,0.75,0.1484375,0.21583614864864864,0.5769054262029318
g_std,-0.009688202291727066,-0.008436538279056549,-0.5671806968205163,0.25,0.1484375,0.21583614864864864,0.5671806968205163
glcm_correlation_std,-0.022917682506111987,-0.006554501230398257,-0.5409072609502968,0.25,0.078125,0.12509300595238096,0.5409072609502968
synth_r_p4_d_mean,0.019146277627442032,0.003635250963270664,0.516059315630574,0.5,0.21875,0.3113425925925926,0.516059315630574
qwt_LH3_phase_rg_std,-0.054017290472984314,-0.03275442123413086,-0.5117642153919373,0.125,0.1328125,0.1952271174863388,0.5117642153919373
glcm_energy_std,0.00108300181444474,0.0008855912299713681,0.47657865465794513,0.625,0.21875,0.3113425925925926,0.47657865465794513
synth_g_p4_d_mean,0.018374263774603605,0.004923956468701363,0.4705744851932804,0.75,0.2578125,0.36309718586387435,0.4705744851932804
high_freq_ratio,-0.0076792889085481875,-0.0022701036650687456,-0.46006966476826366,0.375,0.21875,0.3113425925925926,0.46006966476826366
intensity_std,-0.0084692956879735,-0.008249573409557343,-0.4545910847511952,0.25,0.2421875,0.34288651315789476,0.4545910847511952
qwt_LL2_quaternion_skewness,0.07908444479107857,0.05675692856311798,0.43706417316308926,0.75,0.265625,0.3721516927083333,0.43706417316308926
qwt_LL1_quaternion_skewness,0.0700241532176733,0.06298603117465973,0.4186363427069336,0.75,0.3046875,0.4203125,0.4186363427069336
synth_b_p2_d_mean,0.008997525903396308,0.0088441027328372,0.4084538147978718,0.625,0.296875,0.41164626288659795,0.4084538147978718
r_std,-0.008662504144012928,-0.015206199139356613,-0.40784306337064624,0.375,0.296875,0.41164626288659795,0.40784306337064624
